	Gall, unique	Root, unique	J2, unique	Gall and J2, shared	Root and J2, shared	Gall and Root and J2, shared	Gall and Root, shared
25	Bacillus|4048703214e81d8926d019b544e5fd45	Geminicoccaceae_unc|5bb36746f4c81a332304c5ad192cc1d1	Shinella|d11c10c89250f54b2fcb25b5d01c6f05				
26	Lysinibacillus	Ohtaekwangia	Klebsiella				
27	Cellvibrio|5d8a1527fd6603f555fda579f70cf3a9	Saccharimonadales|3c6fa473b90e96415d1b7abd9cc5871f	Enterobacter				
28	Microvirga	Agromyces	Ensifer				
29	Microvirga|1efcf894789c2bdab5b97030185be003	Agromyces|8a030e02c136af0dc6c5aeb1a9fa9c80	Stenotrophomonas				
30	Microvirga|5e392f3a9e82a31546db60a2c854c787	Agromyces|ced4054c3dd8b973166877aab046c7cb	Achromobacter				
31	Saccharimonadales|c66fbd888aacf77d322302151f6d0875	Lechevalieria	Bradyrhizobium				
32	Luteolibacter	Lechevalieria|5d982a35e65e0e76c0c646834b10e693					
33	Luteolibacter|758376fda66ebb1ba4f5c95dec9e4d0a	Lechevalieria|26ddc57569989db666019c33f7ec7180					
34	Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d	Pseudomonas|1422b36fc3008e0a41f108d963ac41c9					
35	Streptomyces	Microbacterium					
36	Streptomyces|f03c4b8a7bf82aa40b91dccfef025987	Pirellula sp					
37	Streptomyces|6ed881b86eee1bcc88c8436f378cc691	Altererythrobacter					
38	Chitinophaga sp XY16	Altererythrobacter|86bae8e019b63bd179b927a8cb13544e					
39	Aeromicrobium_unc_b	Altererythrobacter|a92d3b7d8f8137e137dd7bc8306560ef					
40	Aeromicrobium_unc_b|5c21353c4f098a6337071ee0bd1da195	Steroidobacter|26ba953b0d12575f5ed331794e3d1fce					
41	Aeromicrobium_unc_b|5e4a328d9d598be64f3e9fe90b51612e	SH-PL14_unc_b					
42	Amb-16S-1323_unc_b	Ilumatobacter					
43	Amb-16S-1323_unc_b|c3b356510a3ebdd6078f2e7a85e60f9e	Dongia|220de03a9f920f04b14be2a7547283e9					
44	Amb-16S-1323_unc_b|ff50bec4ca093b3c4c9f0ccb1f8a80d8	Alphaproteobacteria_unc					
45	Steroidobacter|0f97f671845314dfd281198e280e88b6	Alphaproteobacteria_unc|14189f6ff79e8fc1ac0f53847e350acf					
46	Dongia|2d82f489db1a784aab3ff7e423db3b21	Alphaproteobacteria_unc|6670bb3f8eb1d9c896b6a6ff999e0a44					
