	niche	taxon	asv1	asv2	treedist
0	Gall	Sphingobium	6f61f108	a3378306	0.0626303155559113
1	Gall	Devosia	674e0277	4bbfa312	0.29844995632547705
2	Gall	Devosia	674e0277	5a036964	0.19916989124599208
3	Gall	Devosia	674e0277	80244e17	0.04712434565540151
4	Gall	Devosia	674e0277	60335b6a	0.14417558596687344
5	Gall	Devosia	674e0277	56878dbd	0.2489637250542758
6	Gall	Devosia	4bbfa312	5a036964	0.1550960331932783
7	Gall	Devosia	4bbfa312	80244e17	0.25132761067107556
8	Gall	Devosia	4bbfa312	60335b6a	0.3817473807404753
9	Gall	Devosia	4bbfa312	56878dbd	0.2048898670015621
10	Gall	Devosia	5a036964	80244e17	0.1520475455915906
11	Gall	Devosia	5a036964	60335b6a	0.28246731566099026
12	Gall	Devosia	5a036964	56878dbd	0.09569892173547657
13	Gall	Devosia	80244e17	60335b6a	0.1304217700703998
14	Gall	Devosia	80244e17	56878dbd	0.20184137939987434
15	Gall	Devosia	60335b6a	56878dbd	0.33226114946927404
16	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	df17a246	0.17522642166257826
17	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	a7ff3454	0.0876708264631377
18	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	33b9d83d	0.17449307336559658
19	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	2462a3af	0.1619711371395536
20	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	a7ff3454	0.23636684615779008
21	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	33b9d83d	0.11753890840286663
22	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	2462a3af	0.10501697217682365
23	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	a7ff3454	33b9d83d	0.23563349786080848
24	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	a7ff3454	2462a3af	0.2231115616347655
25	Gall	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33b9d83d	2462a3af	0.05227795088855264
26	Gall	Streptomyces	f03c4b8a	273c74cb	0.17938257366397806
27	Gall	Streptomyces	f03c4b8a	6ed881b8	0.07284177617911665
28	Gall	Streptomyces	273c74cb	6ed881b8	0.13991108340643332
29	Gall	Microbacterium	44b45532	43a086e5	0.048483374996160455
30	Gall	Sphingomonas	61ca3570	74906b90	0.2759153967944381
31	Gall	Sphingomonas	61ca3570	27b86bff	0.18409563649945618
