	R_2	R_3	R_4	R_6
26	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	Bacillus|6c1d0b2d87f960888e9c941f0c2729d0	Candidatus_Chloroploca_unc_b|a0e87a294838dc2bb0c0dc96dee05511	Saccharimonadales|3c6fa473b90e96415d1b7abd9cc5871f
27	Devosia|602b60f76ef7cf2a8f321cce92406201	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab	D05-2_unc_b|52f2f356b67f2388990f61e80c06da88	Rhizobiaceae|52d5343817ac8543329b9d69bdb37dc4
28	Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818	Lysinibacillus|ebf9aff6ca6a9de7991f40ac6bb4544d	Rhizobiaceae|52d5343817ac8543329b9d69bdb37dc4	Xanthobacteraceae_unc|fb6a78b9ae1f6fa2b9db96151a84cb4d
29	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab	Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80	Devosia|80244e173fac90d77f16f831b9f89095	Alphaproteobacteria_unc|6670bb3f8eb1d9c896b6a6ff999e0a44
30	Devosia|56878dbd0964aa19821c04871a210752	Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08	Hyphomicrobium|2dcfe0e71e66ebc06d9e4996a14de035	Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3
31	Sphingomonas|61ca3570edbd0f1eb6ff3e8ca099f994	Chthoniobacter_unc_b|76eaeaeeea9c0a773658a8b83191b9c7	Streptomyces|273c74cb7bc09081d56968162e226072	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab
32	Candidatus_Chloroploca_unc_b|a0e87a294838dc2bb0c0dc96dee05511	Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5	Bacillus|98fd5b7f45ff80423a276dd6851a7a75	Rhizobiaceae|ee5c7151d3880f32b73150755a70d28e
33	Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a	Novibacillus|c7f946841f839ebcd1611fc97b12235a	Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7
34	Flavisolibacter|520f26bee0bc1c4a0783510d4cf9dbd7		Rhodocyclaceae_unc|542ab4550e60f82ef904b556edba50b6	
35	WD2101_soil_group|f81015e33de8d41d59d87670eda99cd5		Bacillus|6c1d0b2d87f960888e9c941f0c2729d0	
36	Flavisolibacter_unc_b|41024a091d4fa6bbf95960b9095853b1		Nocardioides|8a2ba21fcd0f42b109f74d8f660434ff	
37	Microscillaceae_unc|def5911a0e059401a8050a572714f463		Brevundimonas|3c500448ec4d334a7047865290578216	
38	Microvirga|1efcf894789c2bdab5b97030185be003		Bacillus_niabensis|09ff0fac7e9e2d88e30d7b72e505609f	
39	Inhella_unc_b|62f384da9557c56c26d883fdac5897db		Acidovorax|5e97870415986be8b5a1beccbdf3f369	
40	WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996		Xanthobacteraceae_unc|fb6a78b9ae1f6fa2b9db96151a84cb4d	
41	Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3		Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb	
42			Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0	
43			Candidatus_Chloroploca|26e658b59a26db4b1c422c14be3bc3b7	
44			Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|a7ff3454cc6e99d78a0c2c74ccef8c45	
45			Nonomuraea|4be23db3fbfe901453b110d66ffbc41b	
46			Fimbriiglobus_unc_b|d58802fb861120c1c90c50b559cf1c39	
47			metagenome|04d60fd2dfc13dc421e62d1032d616ce	
48			Sphaerisporangium|f05c6f788f6e7934de6ea9db7a143b68	
49			Roseimicrobium_gellanilyticum|1368204831e08f36d8130c9c63fa04ab	
50			Sphingomonas|68c87174914f4e862b63f90e6089e870	
51			WD2101_soil_group|c8e286a4876244255e68781ddb5bb3bb	
52			Rhizobiaceae|3aaf46c8d06a82454f8b1dd07d66df7c	
53			Roseiflexaceae|b3f40a2d47a9fcde75e7af0b3c77bf83	
54			Asticcacaulis_unc_b|15d51301552483851f769995f6e92847	
55			Cellvibrio|55a187da9c83e389e07303b7f2838986	
